Origem,Destino,Companhia Aérea,Tipo de Aeronave,Atraso (min),Tempo de Voo (min),Cancelado,Número de Passageiros,Combustível Estimado (litros)
Belo Horizonte,Salvador,Azul,Boeing 737,0,92,Não,58,4341.54
Belo Horizonte,São Paulo,Azul,Airbus A330,0,207,Não,204,13539.07
Belo Horizonte,Rio de Janeiro,Azul,Embraer 195,167,117,Não,112,9246.3
São Paulo,Fortaleza,Avianca,Boeing 777,0,119,Não,147,1752.15
Recife,Curitiba,Azul,Boeing 737,0,113,Sim,235,13170.7
Salvador,Rio de Janeiro,LATAM,Airbus A330,0,82,Não,142,8596.64
Belo Horizonte,Salvador,Gol,Embraer 195,10,107,Sim,239,11311.69
Rio de Janeiro,Brasília,LATAM,Boeing 777,0,69,Não,225,2213.22
Recife,Curitiba,Azul,Airbus A330,0,147,Não,91,12728.54
São Paulo,Salvador,Avianca,Boeing 737,0,114,Não,51,6880.96
Salvador,São Paulo,LATAM,Embraer 195,0,167,Não,85,4014.94
Recife,Rio de Janeiro,LATAM,Embraer 195,170,230,Não,231,6811.28
Belo Horizonte,Brasília,LATAM,Embraer 195,67,224,Não,185,12054.03
Curitiba,Brasília,Avianca,Airbus A320,0,85,Não,176,8316.54
São Paulo,Fortaleza,Gol,Boeing 737,60,98,Não,83,1727.94
São Paulo,Rio de Janeiro,Azul,Boeing 777,156,228,Sim,175,13760.33
Fortaleza,Rio de Janeiro,Azul,Boeing 777,0,151,Não,185,13930.68
Recife,Belo Horizonte,Avianca,Airbus A320,0,184,Não,184,8194.57
Brasília,Fortaleza,LATAM,Airbus A320,0,212,Não,182,6019.93
Salvador,Fortaleza,LATAM,Boeing 737,0,187,Não,210,9822.24
Rio de Janeiro,Brasília,Gol,Airbus A320,0,157,Não,211,2053.84
São Paulo,Rio de Janeiro,Gol,Boeing 777,0,199,Não,133,8236.06
Salvador,São Paulo,Avianca,Airbus A330,180,50,Não,106,11974.82
Salvador,Belo Horizonte,Azul,Embraer 195,0,51,Não,120,13115.32
Salvador,Rio de Janeiro,Gol,Embraer 195,0,141,Não,202,14030.99
Recife,Fortaleza,Gol,Airbus A320,159,199,Não,236,5866.83
Salvador,Belo Horizonte,Avianca,Boeing 777,42,114,Sim,92,7086.8
Curitiba,Recife,Azul,Boeing 777,0,68,Não,195,5286.2
Fortaleza,Rio de Janeiro,LATAM,Boeing 737,0,120,Não,244,11121.81
Fortaleza,Brasília,Azul,Boeing 737,111,100,Não,73,5171.09
Belo Horizonte,São Paulo,Gol,Airbus A330,141,212,Não,178,4569.45
Fortaleza,Belo Horizonte,LATAM,Airbus A320,173,45,Não,83,4189.18
Curitiba,Brasília,Avianca,Embraer 195,0,224,Não,204,2292.2
Curitiba,São Paulo,LATAM,Boeing 737,36,164,Não,93,14009.18
Fortaleza,Rio de Janeiro,LATAM,Boeing 777,0,96,Não,223,7250.45
Curitiba,São Paulo,LATAM,Embraer 195,0,223,Não,193,5877.41
Belo Horizonte,São Paulo,Azul,Airbus A320,0,182,Não,164,6978.59
Rio de Janeiro,Salvador,LATAM,Embraer 195,21,84,Não,120,12250.83
Brasília,Curitiba,LATAM,Airbus A330,0,93,Não,85,2715.79
Belo Horizonte,Salvador,Avianca,Boeing 737,0,223,Não,196,3076.05
Curitiba,Brasília,Azul,Airbus A320,0,112,Não,73,4686.49
Curitiba,Rio de Janeiro,Avianca,Airbus A320,0,168,Não,144,13445.25
Rio de Janeiro,Recife,Gol,Airbus A330,0,183,Não,247,1330.89
Salvador,Curitiba,Avianca,Airbus A330,0,188,Não,174,6918.97
Salvador,Fortaleza,Azul,Boeing 737,0,106,Não,128,3920.39
Salvador,Brasília,LATAM,Airbus A330,0,178,Não,116,11649.65
Curitiba,Belo Horizonte,LATAM,Airbus A320,0,125,Não,154,3126.07
Fortaleza,Curitiba,Gol,Airbus A330,0,174,Não,231,3721.72
São Paulo,Salvador,Avianca,Embraer 195,174,211,Não,92,2490.61
Salvador,Belo Horizonte,Avianca,Embraer 195,0,164,Não,154,5679.62
Brasília,São Paulo,LATAM,Airbus A320,0,102,Não,234,6507.28
São Paulo,Salvador,Avianca,Airbus A330,0,198,Não,123,7449.13
São Paulo,Brasília,Gol,Boeing 737,0,130,Não,101,5324.67
Salvador,São Paulo,Gol,Boeing 737,99,71,Não,217,4570.68
Belo Horizonte,Fortaleza,Azul,Airbus A320,0,96,Não,86,6160.11
Brasília,Belo Horizonte,Azul,Airbus A320,0,100,Não,111,14872.49
São Paulo,Belo Horizonte,LATAM,Boeing 737,0,211,Não,56,7632.8
Salvador,Belo Horizonte,Avianca,Airbus A330,0,98,Não,87,8714.95
Recife,Belo Horizonte,Gol,Airbus A320,174,145,Não,233,3300.95
São Paulo,Salvador,Gol,Boeing 737,0,179,Não,86,6100.46
São Paulo,Belo Horizonte,Azul,Airbus A330,0,174,Não,221,1991.1
Curitiba,Salvador,Avianca,Boeing 777,42,182,Não,136,11180.4
Rio de Janeiro,Belo Horizonte,Gol,Airbus A330,0,137,Não,67,14421.45
Salvador,Recife,Gol,Airbus A330,85,155,Não,97,12081.58
Fortaleza,Belo Horizonte,Azul,Boeing 737,0,81,Não,58,5719.22
Brasília,Recife,LATAM,Airbus A320,0,148,Não,245,3599.78
São Paulo,Brasília,Azul,Airbus A330,0,159,Não,231,11607.24
Curitiba,Brasília,LATAM,Boeing 777,0,201,Não,194,5459.4
Rio de Janeiro,Brasília,LATAM,Embraer 195,8,196,Não,112,13725.58
Belo Horizonte,Brasília,LATAM,Boeing 777,0,156,Não,80,12088.56
Salvador,Fortaleza,LATAM,Embraer 195,10,187,Não,194,11239.72
Rio de Janeiro,Fortaleza,Gol,Embraer 195,0,161,Não,208,3611.61
Belo Horizonte,Salvador,Azul,Embraer 195,171,206,Não,96,9212.13
Brasília,São Paulo,Gol,Airbus A330,0,66,Não,197,12053.77
São Paulo,Curitiba,Gol,Boeing 737,60,131,Sim,54,10309.93
Rio de Janeiro,Fortaleza,Gol,Airbus A320,29,138,Não,250,10189.91
Brasília,Belo Horizonte,LATAM,Boeing 737,0,60,Não,103,1254.33
São Paulo,Brasília,Gol,Boeing 737,0,93,Não,214,9681.94
Fortaleza,Belo Horizonte,LATAM,Airbus A330,0,150,Não,102,7165.41
Recife,São Paulo,LATAM,Airbus A320,65,83,Não,233,5285.93
Salvador,Rio de Janeiro,Gol,Airbus A320,0,207,Não,91,3863.51
Fortaleza,Curitiba,Gol,Boeing 737,98,158,Não,146,3925.53
Rio de Janeiro,Belo Horizonte,Azul,Boeing 777,23,239,Não,91,7343.18
Fortaleza,Salvador,Avianca,Airbus A330,60,78,Não,148,9015.95
Rio de Janeiro,Recife,Gol,Embraer 195,0,213,Não,57,3261.42
Rio de Janeiro,Salvador,LATAM,Airbus A320,48,87,Não,142,10257.51
Belo Horizonte,Curitiba,Avianca,Airbus A330,0,48,Não,219,8593.52
Recife,Fortaleza,Avianca,Airbus A330,0,102,Não,70,4515.11
Fortaleza,Salvador,Azul,Airbus A320,0,200,Sim,191,12685.6
Fortaleza,Brasília,LATAM,Boeing 777,0,85,Não,200,1288.51
São Paulo,Fortaleza,LATAM,Embraer 195,0,131,Não,53,1952.16
Curitiba,Belo Horizonte,LATAM,Airbus A330,0,46,Não,153,12331.23
Curitiba,Salvador,Avianca,Embraer 195,71,163,Não,75,4375.59
Curitiba,Salvador,Gol,Airbus A330,0,186,Não,89,8966.37
Belo Horizonte,Fortaleza,Azul,Boeing 737,0,181,Não,133,6874.05
Fortaleza,Belo Horizonte,Azul,Airbus A330,0,135,Não,99,8471.56
São Paulo,Rio de Janeiro,Azul,Airbus A330,168,165,Não,208,6553.5
Belo Horizonte,Brasília,LATAM,Boeing 777,0,124,Não,186,2358.78
Recife,São Paulo,Avianca,Boeing 737,94,93,Não,180,6830.52
Salvador,Belo Horizonte,Avianca,Boeing 737,0,113,Não,151,7108.68
Fortaleza,Curitiba,Azul,Airbus A330,152,189,Não,94,8407.06
Brasília,Fortaleza,Avianca,Boeing 737,0,73,Não,174,1094.12
Salvador,Belo Horizonte,Avianca,Airbus A320,49,215,Não,153,5365.23
Fortaleza,Belo Horizonte,Avianca,Boeing 777,0,203,Não,212,1967.64
Curitiba,Brasília,Azul,Boeing 777,60,68,Não,200,1789.69
Belo Horizonte,São Paulo,Azul,Boeing 777,0,72,Não,230,7138.28
Belo Horizonte,Recife,Azul,Boeing 777,0,171,Não,199,10021.69
Recife,Salvador,Azul,Boeing 737,0,153,Não,249,9474.93
Brasília,Rio de Janeiro,Gol,Airbus A320,0,97,Sim,159,1161.11
São Paulo,Rio de Janeiro,Gol,Boeing 737,0,59,Não,105,4373.14
Fortaleza,Curitiba,Azul,Airbus A320,0,191,Não,143,9843.39
Salvador,Belo Horizonte,LATAM,Airbus A330,152,217,Não,157,10934.28
Fortaleza,Rio de Janeiro,Avianca,Airbus A320,31,137,Não,68,6326.18
Belo Horizonte,Salvador,Avianca,Embraer 195,0,160,Não,127,13414.07
Salvador,Fortaleza,LATAM,Boeing 737,31,212,Não,143,13271.9
São Paulo,Salvador,Avianca,Airbus A320,0,194,Não,205,13451.75
Belo Horizonte,São Paulo,Gol,Boeing 777,0,99,Não,92,13638.0
Fortaleza,Rio de Janeiro,Avianca,Embraer 195,0,61,Não,73,1115.53
Fortaleza,São Paulo,Avianca,Airbus A320,170,65,Não,149,14502.62
São Paulo,Fortaleza,Avianca,Embraer 195,0,167,Não,196,9822.89
Belo Horizonte,Curitiba,Avianca,Embraer 195,0,141,Sim,194,7415.11
Fortaleza,Rio de Janeiro,LATAM,Embraer 195,0,70,Não,134,5058.92
Belo Horizonte,São Paulo,LATAM,Boeing 737,172,133,Sim,64,2746.5
Salvador,Rio de Janeiro,Gol,Embraer 195,0,197,Não,50,7656.49
São Paulo,Brasília,LATAM,Boeing 737,0,105,Não,72,8675.73
Recife,Rio de Janeiro,LATAM,Boeing 737,0,137,Sim,135,7917.65
Recife,Brasília,Azul,Boeing 737,0,227,Sim,206,3269.09
Salvador,Fortaleza,Azul,Airbus A330,0,93,Não,129,1627.02
Fortaleza,Curitiba,Gol,Airbus A330,18,128,Não,235,5837.35
Belo Horizonte,Recife,Avianca,Boeing 777,162,209,Não,66,9781.68
Rio de Janeiro,Belo Horizonte,Avianca,Embraer 195,0,204,Não,229,11242.71
Curitiba,Fortaleza,Azul,Embraer 195,0,236,Não,81,1804.69
Belo Horizonte,Recife,Azul,Boeing 737,0,214,Não,246,13614.49
Brasília,Salvador,Azul,Airbus A330,0,186,Não,69,5682.57
São Paulo,Rio de Janeiro,Gol,Airbus A320,0,179,Não,142,5021.6
São Paulo,Fortaleza,Avianca,Airbus A320,0,217,Não,229,8711.81
Rio de Janeiro,Recife,Gol,Boeing 737,0,213,Não,107,5186.77
Curitiba,São Paulo,Azul,Boeing 777,0,79,Não,200,4236.6
Fortaleza,Curitiba,Avianca,Embraer 195,12,215,Sim,101,4441.97
São Paulo,Curitiba,LATAM,Airbus A330,0,170,Não,127,14021.93
Fortaleza,Brasília,Avianca,Boeing 777,68,199,Não,60,8896.41
Fortaleza,Belo Horizonte,LATAM,Airbus A320,0,170,Não,57,11313.89
Recife,Rio de Janeiro,Avianca,Boeing 737,0,177,Não,60,4324.35
Fortaleza,Brasília,Azul,Boeing 737,0,165,Não,179,7437.73
Recife,Curitiba,Azul,Boeing 737,0,57,Não,92,14374.33
Rio de Janeiro,Belo Horizonte,LATAM,Airbus A320,0,238,Não,250,9642.64
Salvador,Recife,Azul,Airbus A320,0,143,Não,143,9858.18
São Paulo,Recife,LATAM,Boeing 737,180,125,Não,83,2935.71
Recife,Curitiba,LATAM,Boeing 777,0,94,Não,170,8534.46
Fortaleza,Curitiba,Avianca,Embraer 195,0,105,Não,232,14367.25
Recife,São Paulo,LATAM,Boeing 777,38,69,Não,89,14172.76
São Paulo,Curitiba,Avianca,Airbus A320,0,102,Não,194,1345.48
Salvador,Recife,Azul,Airbus A330,0,56,Não,234,1530.39
Rio de Janeiro,São Paulo,Avianca,Boeing 737,0,71,Não,89,5090.8
Recife,Curitiba,Avianca,Boeing 737,0,141,Não,174,3889.54
Rio de Janeiro,Fortaleza,Avianca,Boeing 737,0,208,Não,125,14871.26
Curitiba,Fortaleza,Azul,Airbus A320,161,58,Não,77,4636.87
Brasília,Recife,Azul,Boeing 737,0,150,Não,98,2788.29
Brasília,Curitiba,Gol,Boeing 737,0,99,Não,130,13863.45
Brasília,Recife,Azul,Boeing 737,0,171,Não,158,2255.92
Fortaleza,São Paulo,Azul,Airbus A320,0,230,Não,174,7355.91
São Paulo,Belo Horizonte,Avianca,Airbus A320,16,115,Não,91,3457.88
Salvador,Rio de Janeiro,Avianca,Airbus A320,0,124,Não,142,13323.27
São Paulo,Curitiba,Azul,Airbus A330,0,89,Não,85,11858.58
Recife,Salvador,Gol,Airbus A330,136,67,Não,77,1862.62
São Paulo,Belo Horizonte,LATAM,Boeing 777,46,229,Não,65,10560.88
Fortaleza,Brasília,Avianca,Boeing 737,0,228,Não,220,5867.49
Recife,Rio de Janeiro,Avianca,Embraer 195,17,193,Não,77,3514.7
Rio de Janeiro,Curitiba,LATAM,Boeing 737,0,109,Não,239,5802.77
Belo Horizonte,Salvador,Avianca,Boeing 777,0,205,Não,108,12141.64
Brasília,Fortaleza,Azul,Boeing 777,89,196,Não,61,2457.73
Rio de Janeiro,Curitiba,LATAM,Boeing 737,0,135,Não,69,5970.82
Brasília,Belo Horizonte,Avianca,Boeing 777,37,227,Sim,110,1977.17
Recife,Salvador,LATAM,Boeing 777,0,151,Não,246,12650.36
Brasília,Salvador,Avianca,Boeing 737,0,78,Não,113,14306.84
Salvador,Rio de Janeiro,Gol,Embraer 195,130,190,Sim,62,11998.62
Recife,Salvador,Azul,Airbus A330,0,192,Não,105,1168.7
Rio de Janeiro,Belo Horizonte,Avianca,Airbus A330,0,83,Não,62,4618.94
São Paulo,Fortaleza,Avianca,Boeing 737,73,153,Não,167,1594.42
Brasília,Curitiba,LATAM,Boeing 737,0,104,Não,111,3317.84
Recife,Curitiba,Avianca,Airbus A330,0,159,Não,57,7049.78
Recife,Salvador,Gol,Airbus A320,0,68,Não,220,3197.18
Curitiba,Belo Horizonte,Gol,Embraer 195,106,113,Não,227,13677.17
Salvador,São Paulo,LATAM,Airbus A330,0,136,Não,75,11916.99
Belo Horizonte,São Paulo,Azul,Airbus A330,33,124,Não,243,1257.43
Salvador,Fortaleza,LATAM,Airbus A330,0,62,Não,246,14150.65
Fortaleza,Belo Horizonte,Gol,Boeing 777,36,45,Não,215,14452.8
Curitiba,Belo Horizonte,Avianca,Boeing 777,0,225,Não,192,2065.87
Brasília,Belo Horizonte,Azul,Embraer 195,0,82,Não,250,6691.5
Rio de Janeiro,Belo Horizonte,LATAM,Embraer 195,153,221,Não,79,12009.46
Salvador,Belo Horizonte,Avianca,Airbus A320,0,142,Não,73,5813.99
Recife,Curitiba,Avianca,Boeing 737,35,92,Não,75,11330.16
Rio de Janeiro,Fortaleza,Avianca,Embraer 195,105,100,Não,184,7121.98
Brasília,Rio de Janeiro,Avianca,Boeing 737,0,120,Não,92,6566.25
Rio de Janeiro,Curitiba,Avianca,Airbus A330,34,72,Não,190,8068.02
Rio de Janeiro,Recife,LATAM,Boeing 737,0,67,Não,160,7387.93
Belo Horizonte,Rio de Janeiro,Azul,Embraer 195,0,80,Não,225,13126.83
Rio de Janeiro,Salvador,Azul,Embraer 195,93,134,Não,216,14625.59
Salvador,Recife,Gol,Boeing 737,0,180,Não,80,8445.23
Belo Horizonte,Curitiba,Gol,Embraer 195,0,96,Sim,134,14922.84
Belo Horizonte,Rio de Janeiro,LATAM,Embraer 195,0,98,Não,61,7921.09
Salvador,Rio de Janeiro,Avianca,Embraer 195,167,229,Não,104,1207.03
São Paulo,Salvador,Azul,Airbus A320,31,196,Não,88,10790.25
São Paulo,Salvador,Azul,Boeing 777,33,169,Não,150,8329.42
Curitiba,Fortaleza,Azul,Airbus A330,0,114,Não,187,2428.48
Curitiba,Belo Horizonte,LATAM,Airbus A330,140,227,Não,149,5471.06
Brasília,Recife,Azul,Airbus A330,66,111,Não,169,6553.38
Belo Horizonte,Curitiba,Gol,Airbus A320,0,124,Não,229,5091.57
Brasília,Recife,Avianca,Boeing 737,83,77,Não,129,5189.96
Belo Horizonte,Brasília,Azul,Boeing 777,0,154,Não,139,13111.68
Fortaleza,São Paulo,LATAM,Embraer 195,31,191,Não,228,7586.7
Belo Horizonte,Rio de Janeiro,Avianca,Boeing 737,65,81,Não,108,1032.07
Curitiba,Rio de Janeiro,Avianca,Boeing 777,0,173,Não,140,7435.06
Rio de Janeiro,Fortaleza,Gol,Boeing 737,175,55,Não,247,6956.98
Salvador,Belo Horizonte,Gol,Airbus A320,176,206,Não,176,4173.0
São Paulo,Fortaleza,Avianca,Boeing 737,0,122,Sim,57,1040.13
Rio de Janeiro,Belo Horizonte,Avianca,Boeing 777,0,55,Sim,225,7197.12
Brasília,Rio de Janeiro,Avianca,Airbus A330,0,56,Não,139,6984.27
Brasília,Fortaleza,Avianca,Boeing 777,0,169,Não,128,9608.09
Recife,Rio de Janeiro,Avianca,Embraer 195,123,140,Não,136,11467.35
Recife,Curitiba,Gol,Boeing 737,0,168,Não,230,1010.05
Rio de Janeiro,Salvador,Avianca,Airbus A330,0,71,Não,163,6777.53
Fortaleza,Belo Horizonte,Azul,Boeing 737,0,83,Não,93,8556.25
Curitiba,Salvador,Azul,Boeing 737,0,187,Não,96,7103.25
Rio de Janeiro,Salvador,Avianca,Boeing 777,0,219,Não,187,2223.21
Belo Horizonte,Salvador,Azul,Airbus A320,0,146,Não,177,6107.32
Curitiba,Recife,LATAM,Airbus A320,0,86,Não,191,6506.21
Salvador,São Paulo,Gol,Boeing 777,0,205,Não,234,4030.35
Salvador,Recife,Azul,Embraer 195,158,46,Não,186,13932.82
Salvador,Brasília,Gol,Airbus A320,0,219,Não,96,2825.01
Brasília,Fortaleza,Gol,Boeing 737,0,206,Não,97,13369.17
Recife,Rio de Janeiro,Azul,Airbus A330,0,195,Não,224,6224.74
Recife,Belo Horizonte,Avianca,Embraer 195,0,178,Não,132,12632.71
Rio de Janeiro,Fortaleza,Gol,Airbus A330,0,88,Não,238,3206.14
Curitiba,Belo Horizonte,LATAM,Boeing 737,0,220,Não,84,10186.16
Recife,Salvador,Azul,Airbus A320,32,188,Não,56,6917.02
Fortaleza,Brasília,LATAM,Boeing 777,0,212,Não,233,11677.26
Fortaleza,Salvador,Gol,Boeing 737,179,129,Não,200,7759.79
Belo Horizonte,Salvador,LATAM,Airbus A330,90,229,Não,190,6179.43
Curitiba,Brasília,LATAM,Boeing 737,0,220,Não,107,4235.81
Fortaleza,São Paulo,Azul,Airbus A320,0,90,Não,91,10982.91
Brasília,São Paulo,Gol,Embraer 195,0,183,Não,137,11265.53
São Paulo,Brasília,Avianca,Boeing 737,0,234,Não,164,13809.79
Curitiba,Rio de Janeiro,Azul,Boeing 737,0,62,Não,117,8513.27
Curitiba,São Paulo,Azul,Boeing 737,0,104,Sim,111,9801.58
São Paulo,Belo Horizonte,Azul,Boeing 777,0,145,Não,245,3527.05
Fortaleza,São Paulo,LATAM,Embraer 195,0,106,Não,248,6514.43
Curitiba,Recife,Avianca,Airbus A330,0,75,Não,143,1074.59
Salvador,Rio de Janeiro,Azul,Airbus A320,162,66,Não,103,8143.52
Salvador,Rio de Janeiro,Avianca,Boeing 777,0,130,Não,85,12670.68
Curitiba,Rio de Janeiro,Avianca,Boeing 777,0,234,Não,170,2261.69
Curitiba,Belo Horizonte,Azul,Boeing 777,0,97,Não,113,10885.05
Brasília,Salvador,Avianca,Airbus A320,0,64,Não,124,5987.89
Rio de Janeiro,Fortaleza,Gol,Embraer 195,0,186,Não,238,10315.06
Rio de Janeiro,São Paulo,LATAM,Airbus A320,0,59,Não,63,8680.69
Brasília,Recife,Azul,Embraer 195,0,74,Não,231,9094.27
Recife,Fortaleza,Gol,Airbus A320,44,212,Não,76,7037.4
Belo Horizonte,Recife,Azul,Boeing 737,0,215,Não,124,7156.39
Fortaleza,Recife,Avianca,Airbus A330,0,151,Não,50,10553.82
São Paulo,Rio de Janeiro,Azul,Embraer 195,102,119,Não,108,1758.73
Rio de Janeiro,Fortaleza,Avianca,Airbus A320,53,93,Não,160,12282.05
Brasília,Fortaleza,LATAM,Airbus A330,0,194,Não,199,6297.45
Belo Horizonte,Curitiba,Azul,Boeing 737,22,99,Não,122,2140.32
Recife,São Paulo,Gol,Airbus A330,0,207,Não,179,7225.36
Recife,Fortaleza,Avianca,Embraer 195,162,184,Não,179,2033.75
Salvador,Fortaleza,LATAM,Airbus A320,0,141,Não,127,13423.07
Salvador,Belo Horizonte,Gol,Airbus A330,0,137,Não,94,11365.78
Curitiba,Brasília,Gol,Embraer 195,0,232,Não,91,14904.94
Recife,Salvador,LATAM,Embraer 195,0,114,Não,233,1614.64
Salvador,Curitiba,Avianca,Boeing 737,0,209,Sim,80,1914.09
São Paulo,Belo Horizonte,Avianca,Boeing 777,0,108,Sim,218,2774.37
Rio de Janeiro,Belo Horizonte,LATAM,Boeing 777,30,84,Não,122,4849.53
Recife,Brasília,Gol,Airbus A320,0,129,Não,114,5625.93
Brasília,Recife,LATAM,Embraer 195,0,114,Não,125,8166.2
São Paulo,Rio de Janeiro,Gol,Embraer 195,0,188,Não,104,13753.36
Recife,Salvador,Azul,Boeing 737,5,145,Não,189,3957.14
Recife,Brasília,Avianca,Airbus A320,0,71,Sim,172,12585.15
Fortaleza,Belo Horizonte,LATAM,Airbus A330,0,232,Sim,202,1128.59
Rio de Janeiro,São Paulo,Gol,Airbus A330,0,73,Não,193,14485.4
Rio de Janeiro,Belo Horizonte,Azul,Airbus A330,0,223,Não,143,3465.67
Fortaleza,Belo Horizonte,Avianca,Boeing 737,0,208,Não,113,7694.4
Belo Horizonte,Curitiba,LATAM,Boeing 737,143,209,Não,75,11317.4
Recife,Salvador,Gol,Boeing 737,0,203,Não,185,6823.48
Recife,Rio de Janeiro,Avianca,Airbus A330,160,52,Não,230,9333.83
São Paulo,Rio de Janeiro,Azul,Boeing 777,0,176,Não,139,11089.93
Brasília,Belo Horizonte,Gol,Airbus A320,0,114,Não,223,14907.7
Rio de Janeiro,Recife,Gol,Boeing 737,0,212,Não,75,7301.87
Brasília,Salvador,Avianca,Airbus A330,0,158,Não,199,6742.84
Fortaleza,Rio de Janeiro,Gol,Embraer 195,0,131,Não,61,6284.85
Curitiba,Salvador,Avianca,Airbus A330,26,128,Não,200,13898.58
Salvador,Fortaleza,Avianca,Airbus A320,0,160,Não,70,14575.28
Recife,Curitiba,Azul,Embraer 195,0,158,Não,124,13661.32
Brasília,Rio de Janeiro,LATAM,Airbus A320,0,214,Não,143,2612.4
Belo Horizonte,Fortaleza,Azul,Boeing 737,0,149,Não,226,14875.27
Salvador,Curitiba,Azul,Boeing 777,0,210,Não,110,6058.13
Curitiba,São Paulo,Gol,Airbus A320,0,224,Não,244,9862.85
Belo Horizonte,Recife,Gol,Embraer 195,0,139,Não,161,4644.67
Belo Horizonte,Brasília,Avianca,Embraer 195,104,214,Não,176,4069.24
Fortaleza,Salvador,Gol,Airbus A320,0,164,Não,59,9519.09
São Paulo,Belo Horizonte,Gol,Airbus A320,0,208,Não,130,7422.74
Rio de Janeiro,Belo Horizonte,LATAM,Airbus A330,0,200,Não,222,11474.46
Curitiba,Salvador,Avianca,Embraer 195,0,53,Não,176,2455.78
Recife,Salvador,Azul,Boeing 777,0,125,Não,197,6784.08
Recife,Fortaleza,Azul,Embraer 195,159,199,Não,201,2243.44
Salvador,Curitiba,LATAM,Airbus A320,0,185,Não,110,3782.61
São Paulo,Salvador,Avianca,Airbus A320,81,45,Não,216,8632.13
São Paulo,Salvador,Gol,Embraer 195,0,54,Não,117,7405.78
Salvador,Rio de Janeiro,LATAM,Boeing 737,0,86,Não,128,4790.88
Belo Horizonte,Fortaleza,Avianca,Embraer 195,0,232,Sim,84,10053.22
Recife,São Paulo,LATAM,Boeing 737,32,136,Não,109,9849.91
Salvador,Recife,LATAM,Boeing 777,108,70,Não,72,2563.46
São Paulo,Brasília,LATAM,Airbus A330,45,193,Não,74,9994.84
Belo Horizonte,São Paulo,LATAM,Boeing 777,85,202,Não,66,1041.28
Belo Horizonte,Rio de Janeiro,Gol,Airbus A320,0,190,Sim,79,1464.35
Recife,Curitiba,Azul,Boeing 777,0,48,Não,90,3233.55
Curitiba,São Paulo,Azul,Airbus A320,0,180,Não,159,12425.79
Fortaleza,Belo Horizonte,Gol,Boeing 777,0,178,Não,198,13102.14
Rio de Janeiro,Brasília,LATAM,Embraer 195,0,65,Não,184,5266.71
Salvador,Belo Horizonte,LATAM,Airbus A320,51,66,Não,136,2003.93
Belo Horizonte,Curitiba,LATAM,Boeing 737,0,165,Não,140,1447.83
São Paulo,Fortaleza,Avianca,Boeing 777,0,101,Não,134,8111.41
Fortaleza,Rio de Janeiro,Azul,Boeing 737,158,105,Não,160,10467.99
Recife,Curitiba,Gol,Boeing 777,0,157,Não,248,10226.11
Salvador,Brasília,Azul,Embraer 195,127,90,Não,146,14503.48
Recife,Curitiba,LATAM,Airbus A330,0,225,Não,237,7787.27
Belo Horizonte,São Paulo,LATAM,Airbus A320,0,50,Não,145,12090.12
Recife,São Paulo,Gol,Airbus A320,148,117,Não,191,10961.62
São Paulo,Rio de Janeiro,Gol,Airbus A320,0,212,Não,226,12551.88
Belo Horizonte,Salvador,Azul,Airbus A330,146,55,Não,155,9451.28
Salvador,São Paulo,Avianca,Airbus A330,0,134,Não,60,3612.34
São Paulo,Recife,Azul,Airbus A330,0,158,Não,152,10670.12
Fortaleza,Salvador,Azul,Airbus A320,17,73,Não,97,4774.24
São Paulo,Fortaleza,Azul,Boeing 737,0,71,Não,132,9065.83
Rio de Janeiro,São Paulo,Avianca,Airbus A320,90,204,Não,77,10777.37
Recife,São Paulo,Gol,Boeing 737,0,166,Não,82,9974.02
Curitiba,Belo Horizonte,Gol,Boeing 777,0,131,Não,76,7252.5
Curitiba,Salvador,Azul,Boeing 737,119,130,Não,208,10641.07
Salvador,Fortaleza,Azul,Airbus A320,0,232,Não,58,3462.98
Curitiba,Brasília,Azul,Boeing 777,0,200,Não,83,7096.35
Fortaleza,Curitiba,Avianca,Airbus A320,0,96,Não,72,13261.62
Curitiba,Belo Horizonte,Azul,Embraer 195,0,47,Não,153,14382.47
Fortaleza,Belo Horizonte,LATAM,Boeing 777,89,178,Não,123,9709.0
Recife,Rio de Janeiro,Gol,Boeing 777,71,141,Não,182,1546.06
São Paulo,Rio de Janeiro,LATAM,Boeing 777,0,108,Não,126,12225.1
Brasília,Fortaleza,Avianca,Airbus A330,0,88,Não,239,14340.01
Salvador,Fortaleza,Gol,Boeing 737,0,84,Não,81,5327.86
Curitiba,São Paulo,Azul,Airbus A330,0,155,Não,165,5198.75
São Paulo,Salvador,Azul,Airbus A320,0,207,Não,174,12647.97
Salvador,Rio de Janeiro,Avianca,Boeing 737,0,148,Não,234,4895.91
Rio de Janeiro,Salvador,Azul,Airbus A330,0,97,Não,138,10028.42
Salvador,Fortaleza,LATAM,Boeing 777,0,218,Não,109,8335.27
Recife,Rio de Janeiro,LATAM,Airbus A320,0,137,Não,172,8496.84
Rio de Janeiro,São Paulo,Avianca,Boeing 777,42,216,Não,170,5182.89
São Paulo,Rio de Janeiro,Avianca,Boeing 737,0,56,Não,228,3894.7
Fortaleza,Salvador,Avianca,Airbus A320,160,207,Não,81,11586.14
Fortaleza,Brasília,LATAM,Embraer 195,0,77,Não,163,8086.29
Curitiba,Fortaleza,Azul,Boeing 737,33,53,Não,246,4094.88
Rio de Janeiro,Belo Horizonte,LATAM,Embraer 195,64,55,Não,99,12625.12
